Observation_Group_ID,Travel_Time,Total_Observation_Time,Animal_Search_Time,Animal_Search_Method,Snow_on_Ground,Percent_Snow_Cover,Snow_in_Tree_Canopy,
"73","","","","","","",""
"74","","","","","","","0"
"75","","","","","","","0"
"76","","","","","","","0"
"3952","","","","","","",""
"3953","","","","","","",""
"3954","","","","","","",""
"3955","","","","","","",""
"3956","","","","","","",""
"3957","","","","","","",""
"3958","","","","","","",""
"3959","","","","","","",""
"3960","","","","","","",""
"3961","","","","","","",""
"3962","","","","","","",""
"3963","","","","","","",""
"3964","","","","","","",""
"3965","","","","","","",""
"3966","","","","","","",""
"3967","","","","","","",""
"3968","","","","","","",""
"3969","","","","","","",""
"3970","","","","","","",""
"3971","","","","","","",""
"3972","","","","","","",""
"3973","","","","","","",""
"3979","","","","","","",""
"3980","","","","","","",""
"4033","","","","","","",""
"4034","","","","","","",""
"4179","","","","","","",""
"4180","","","","","","",""
"4297","","","","","","",""
"4313","","","","","","",""
"4339","","","","Walking","","",""
"4534","","","","Walking","","",""
"4633","","","","Walking","","","0"
"5898","","","","","","",""
"5899","","","","Walking","","",""
"6039","","","","","","",""
"13991","","","","","","",""
"13992","0 minutes","15 minutes","3 minutes","Stationary","0","","0"
"13993","0 minutes","30 minutes","5 minutes","Stationary","0","","0"
"13994","0 minutes","20 minutes","","","0","","0"
"13995","0 minutes","5 minutes","5 minutes","Stationary","0","","0"
"13996","0 minutes","30 minutes","5 minutes","Stationary","0","","0"
"13997","0 minutes","40 minutes","","","0","","0"
"13998","0 minutes","1 hours","3 minutes","Stationary","0","","0"
"13999","0 minutes","1 hours","3 minutes","Stationary","0","","0"
"14000","0 minutes","35 minutes","","","0","","0"
"14001","0 minutes","35 minutes","","","0","","0"
"14002","0 minutes","50 minutes","","","0","","0"
"14003","0 minutes","30 minutes","","","0","","0"
"14004","","","","","0","","0"
"14005","","","","","","",""
"14006","","","","","","",""
"14007","","","","","","",""
"14008","","","","","","",""
"14009","","","","","","",""
"15376","","","","","","",""
"15467","","","","","","",""
"15703","","","","","","",""
"16010","","","","","","",""
"16683","","","","","0","","0"
"16684","","","","","0","","0"
"16685","","","","","0","","0"
"16688","","","","","","",""
"16771","","","","","0","","0"
"16935","","","","","0","","0"
"17282","","","","","0","","0"
"17636","","","","","0","","0"
"17637","","","","","0","","0"
"17804","","","","","0","","0"
"18198","","","","","0","","0"
"18531","","","","","0","","0"
"18532","","","","","0","","0"
"18533","","","","","0","","0"
"18575","","","","","0","","0"
"18845","","","","","0","","0"
"19012","","","","","0","","0"
"19667","","","","","0","","0"
"19810","","","","","0","","0"
"21065","","","","","0","","0"
"22004","","","","","0","","0"
"23774","","","","","0","","0"
"27369","","","","","","",""
"27917","","","","","","",""
"28116","","","","","0","","0"
"28589","","","","","0","","0"
"29565","","","","","0","","0"
"29792","","","","","0","","0"
"31473","","","","","0","","0"
"31712","","","","","","",""
"31751","","","","","","",""
"32190","","10 minutes","","","1","5","0"
"32366","","","","","","",""
"32621","","","","","","",""
"32795","","5 minutes","","","","",""
"33237","","","","","","",""
"33508","","","","","","",""
"33835","","15 minutes","","","","",""
"33987","","","","","","",""
"34073","","","","","","",""
"34200","","","","","1","85","0"
"34273","","","","","","",""
"34371","","","","","1","10","0"
"34509","","","","","","",""
"34553","","","","","","",""
"34693","","","","","","",""
"34761","","","","","","",""
"34926","","","","","","",""
"35050","","","","","","",""
"35140","","","","","1","20",""
"35202","","","","","","",""
"35300","","","","","","",""
"35379","","","","","0","","0"
"35394","","","","","","",""
"35576","","","","","","",""
"35579","","","","","","",""
"35580","","","","","","",""
"35581","","","","","","",""
"35582","","","","","","",""
"35583","","","","","","",""
"35584","","","","","","",""
"35585","","","","","","",""
"35588","","","","","","",""
"35589","","","","","","",""
"35681","","","","","","",""
"35739","","","","","","",""
"35794","","","","","0","","0"
"35888","","","","","","",""
"35947","","","","","","",""
"36033","","","","","","",""
"36470","","","","","","",""
"36614","","","","","","",""
