Secondary_Species-Specific_Definition_ID,Phenophase_ID,Species_ID,Secondary_Species-Specific_Definition,Intensity_Category_ID,Sec_Sp-Sp_Def_Effective_Datetime,Sec_Sp-Sp_Def_Deactivation_Datetime,
"1","312","288","Also include observations of bumblebee individuals with a pollen basket containing pollen on their leg, even if they are seen away from flowers.","","2010-03-01 00:00:00","2011-03-20 00:00:00"
"2","296","288","In bumblebees, males are usually much smaller than females, and mating can occur at rest (more typical) or in flight.","","2010-03-01 00:00:00","2011-03-20 00:00:00"
"3","344","264","Mule deer young have spotted fur.","","2010-03-01 00:00:00","2011-03-20 00:00:00"
"4","344","270","White-tailed deer young have spotted fur.","","2010-03-01 00:00:00","2011-03-20 00:00:00"
"5","329","261","For the bicolored sallow moth, the evening mate-seeking activity of males can often be easily observed.","","2010-03-01 00:00:00",""
"6","332","259","For the eastern tent catepillar, this phenophase occurs when tiny catepillars are seen on the egg mass. ","","2010-03-01 00:00:00",""
"8","328","260","Spring azures are not highly territorial, but males may perch conspicuously with wings open.","","2010-03-01 00:00:00",""
"9","283","229","For the tiger salamander, this includes sexually mature, gilled individuals.","","2010-03-01 00:00:00",""
"10","366","286","Punctured tiger beetle eggs will usually have a guarding adult present.","","2010-03-01 00:00:00",""
"11","201","174","Because Medicago sativa reproductive parts may be difficult to see, a flower may be considered open when the petals separate from one another and open.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"12","202","174","For Medicago sativa, a fruit is considered ripe when the coiled pod turns from green to brown.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"13","390","93","In Tilia americana, a fruit is considered ripe when it has turned from green to brown or reddish-brown in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"14","501","79","For Fagus grandifolia, the small petal-less flowers appear from the bud just after the newly emerging leaves, and the stamens or pistil become clearly visible once the flower 'opens'.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"15","502","71","For Corylus americana, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"16","390","91","In Sorbus americana, a berry is considered ripe when it is orange-red to bright red in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"17","202","145","For Ambrosia artimisiifolia, a fruit is considered ripe when it is a uniform tan color and no longer green.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"18","502","72","For Corylus cornuta, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"19","371","105","For Artemisia tridentata, primary new leaves develop along the main stem.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"20","390","105","For Artemisia tridentata, a fruit is considered ripe when it has turned dark brown in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"21","390","87","In Prunus emarginata, a fruit is considered ripe when it is dark red in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"22","202","169","For Lewisia rediviva, the papery capsule is considered ripe when it has split and shiny black seeds are visible inside.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"23","390","28","In Prunus serotina, a fruit is considered ripe when it is black in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"24","390","90","In Sambucus nigra, a berry is considered ripe when it is dark blue to purple-black in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"25","501","80","For Juglans nigra, male and female flowers are petal-less and the stamens or pistil becomes clearly visible once the flower 'opens'.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"26","390","80","In Juglans nigra, a fruit is considered ripe when it has turned brown in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"27","202","9","For Clintonia borealis, a berry is considered ripe when it is dark blue in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"28","201","11","For Cornus canadensis, ignore the four large, white bracts and watch for the opening of the small flowers in the center of the showy bracts.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"29","202","11","For Cornus canadensis, a berry is considered ripe when it is bright red in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"30","502","101","For Quercus macrocarpa, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"31","202","173","For Maianthemum canadense, a berry is considered ripe when it is deep translucent red in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"32","390","64","For Amelanchier canadensis, a fruit is considered ripe when it is dark purple or black in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"33","390","29","In Prunus virginiana, a fruit is considered ripe when it is dark red or black in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"34","390","89","In Rhamnus cathartica, a fruit is considered ripe when it is black in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"35","202","189","For Taraxacum officinale, a fruit is considered ripe when the attached 'white fluff' is visible.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"36","371","117","For Larrea tridentata, new leaves are generally located at branch tips, and are a lighter shade of green than the older leaves on the plant.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"37","201","117","For Larrea tridentata, when the flower first opens the anthers rest horizontally cupped in the petals, or even hang slightly below the flower between the petals.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"38","202","117","For Larrea tridentata, a fruit is considered ripe when the green skin has turned dark brown and the fruit has split to show five clumped seeds that are covered with fuzzy white hairs.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"39","390","7","For Cercis canadensis, a fruit is considered ripe when the seedpod has turned dark brown in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"40","501","12","For Cornus florida, ignore the four large, white bracts and watch for the opening of the small flowers in the center of the showy bracts.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"41","390","12","For Cornus florida, a fruit is considered ripe when it is bright red in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"42","502","62","For Alnus incana, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"43","501","75","For Fraxinus pennsylvanica, male and female flowers are petal-less and the stamens or pistil becomes clearly visible once the flower 'opens'.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"44","390","94","In Vaccinium corymbosum, a berry is considered ripe when it is blue to blue-black in color.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
"45","501","95","For Viburnum lantanoides, ignore the large, sterile flowers on the perimeter of the flower cluster, and watch for the opening of the smaller, fertile flowers in the center.","","2009-03-01 00:00:00","2011-03-20 00:00:00"
