Person_ID,Read_Online_Training_Materials,Trained_in_Person,Place_of_Training,Ecological_Experience,Eco_Experience_Comments,Self-Described_Naturalist,Naturalist_Skill_Level,Participation_as_Part_of_Job,Type_of_Job,Job_Comments,
"82","","","","","","","","","",""
"126","","","","","","","","","",""
"324","","","","","","","","","",""
"1283","","","","","","","","","",""
"2766","","","","","","","","","",""
"4344","2012-02-29 00:00:00","","","I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).","","1","Intermediate","","Ecology/Science",""
"4846","2012-04-13 00:00:00","","","I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).","","1","Intermediate","","","I grew up in a farming community, have camped and hiked extensively in the Colorado Rocky Mountains, and currently live on 60 acres at 8300 feet in southern Colorado. Transplanted several lilac plants from my former home in Denver. "
"13950","","","","","","1","Intermediate","","Ecology/Science",""
"14533","2014-02-05 00:00:00","","","","I am a Colorado Master Gardener and a novice Native Plant Master","1","Beginner","","",""
"14714","","","","","","","","","",""
"14787","","","","","","","","","",""
"18981","","","","","","","","","",""
"20498","","","","","","","","","",""
"20530","","","","","","","","","",""
"22520","","","","","","","","","",""
"23002","","","","","","","","","",""
"23786","","","","","","","","","",""
"23926","","","","","","","","","",""
"24067","","","","","","","","","",""
"24339","","","","","","","","","",""
"24649","","","","","","","","","",""
"24796","","","","","","","","","",""
"24878","","","","","","","","","",""
"25451","","","","","","","","","",""
"26570","","","","","","","","","",""
"26594","","","","","","","","","",""
"26600","","","","","","","","","",""
"26601","","","","","","","","","",""
"26608","","","","","","","","","",""
"26615","","","","","","","","","",""
"26660","","","","","","","","","",""
"26676","","","","","","","","","",""
"26746","","","","","","","","","",""
"26748","","","","","","","","","",""
"26751","","","","","","","","","",""
"26765","","","","","","","","","",""
"26767","","","","","","","","","",""
"26768","","","","","","","","","",""
"26774","","","","","","","","","",""
"26783","","","","","","","","","",""
"26785","","","","","","","","","",""
"26822","","","","","","","","","",""
"26844","","","","","","","","","",""
"26895","","","","","","","","","",""
"27032","","","","","","","","","",""
"27065","","","","","","","","","",""
"27138","","","","","","","","","",""
"27219","","","","","","","","","",""
"27311","","","","","","","","","",""
"27314","","","","","","","","","",""
"27319","","","","","","","","","",""
"27322","","","","","","","","","",""
"27344","","","","","","","","","",""
"27346","","","","","","","","","",""
"27512","","","","","","","","","",""
"27981","","","","","","","","","",""
"18718","","","","","","","","","",""
"26585","","","","","","","","","",""
"26601","","","","","","","","","",""
"26603","","","","","","","","","",""
"26670","","","","","","","","","",""
"26676","","","","","","","","","",""
"26745","","","","","","","","","",""
"26746","","","","","","","","","",""
"26748","","","","","","","","","",""
"26765","","","","","","","","","",""
"26770","","","","","","","","","",""
"26773","","","","","","","","","",""
"26783","","","","","","","","","",""
"26844","","","","","","","","","",""
"26898","","","","","","","","","",""
"27018","","","","","","","","","",""
"27032","","","","","","","","","",""
"27065","","","","","","","","","",""
"27157","","","","","","","","","",""
"27218","","","","","","","","","",""
"27219","","","","","","","","","",""
"27322","","","","","","","","","",""
"27324","","","","","","","","","",""
"27329","","","","","","","","","",""
"27344","","","","","","","","","",""
"27345","","","","","","","","","",""
"27346","","","","","","","","","",""
"27347","","","","","","","","","",""
"27418","","","","","","","","","",""
"27512","","","","","","","","","",""
"27571","","","","","","","","","",""
"27927","","","","","","","","","",""
"27986","","","","","","","","","",""
