Observation_ID,ObservedBy_Person_ID,Update_Datetime,Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Species_Functional_Type,Individual_ID,Plant_Nickname,Protocol_ID,Phenophase_ID,Phenophase_Category,Phenophase_Description,Phenophase_Name,Phenophase_Definition_ID,Secondary_Species-Specific_Definition_ID,Observation_Date,Day_of_Year,Phenophase_Status,Intensity_Category_ID,Intensity_Value,Abundance_Value,
"5302434","6","2015-04-08 07:50:33","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","229","392","Seed cones","Unripe seed cones","Unripe seed cones","392","5724","2015-03-24","83","0","61","-9999","-9999"
"5372960","6","2015-04-08 07:50:36","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","229","392","Seed cones","Unripe seed cones","Unripe seed cones","392","5724","2015-04-03","93","0","61","-9999","-9999"
"5399552","6","2015-04-13 10:54:59","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","229","392","Seed cones","Unripe seed cones","Unripe seed cones","392","5724","2015-04-08","98","0","61","-9999","-9999"
"5433861","6","2015-04-15 11:51:10","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","229","392","Seed cones","Unripe seed cones","Unripe seed cones","392","5724","2015-04-13","103","0","61","-9999","-9999"
"5452444","6","2015-04-16 09:27:04","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","229","392","Seed cones","Unripe seed cones","Unripe seed cones","392","5724","2015-04-15","105","0","61","-9999","-9999"
"5459070","6","2015-05-01 14:25:44","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","229","392","Seed cones","Unripe seed cones","Unripe seed cones","392","5724","2015-04-16","106","0","61","-9999","-9999"
"5577383","6","2015-05-04 17:36:33","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","229","392","Seed cones","Unripe seed cones","Unripe seed cones","392","5724","2015-05-01","121","0","61","-9999","-9999"
"5599299","6","2015-05-08 14:54:10","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","229","392","Seed cones","Unripe seed cones","Unripe seed cones","392","5724","2015-05-04","124","0","61","-9999","-9999"
"5625931","6","2015-05-13 16:59:08","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","229","392","Seed cones","Unripe seed cones","Unripe seed cones","392","5724","2015-05-08","128","0","61","-9999","-9999"
"5656517","6","2015-06-20 18:04:28","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","229","392","Seed cones","Unripe seed cones","Unripe seed cones","392","5724","2015-05-13","133","0","61","-9999","-9999"
"5765544","6","2015-06-20 18:04:29","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","229","392","Seed cones","Unripe seed cones","Unripe seed cones","392","5724","2015-05-30","150","0","61","-9999","-9999"
"5887967","6","2015-08-17 08:30:41","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","229","392","Seed cones","Unripe seed cones","Unripe seed cones","392","5724","2015-06-20","171","0","61","-9999","-9999"
"6065059","6","2015-08-17 08:30:43","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","229","392","Seed cones","Unripe seed cones","Unripe seed cones","392","5724","2015-07-23","204","0","61","-9999","-9999"
