ObservedBy_Person_ID,Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Species_Functional_Type,Individual_ID,Plant_Nickname,Phenophase_ID,Phenophase_Category,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,NumDays_in_Series,Multiple_Observers,Multiple_FirstY,
"'6'","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","480","Needles","Breaking needle buds (conifers)","2015","5","13","133","2457156","5","2015","5","13","133","2457156","17","1","0","0"
"'6'","2","Home","43.085350","-70.691330","12","ME","39","Abies","balsamea","balsam fir","Evergreen conifer","3545","Balsam fir","485","Needles","Young needles (conifers)","2015","5","30","150","2457173","17","2015","8","17","229","2457252","15","80","0","0"
"'6'","2","Home","43.085350","-70.691330","12","ME","904","Kalmia","latifolia","mountain laurel","Evergreen broadleaf","22661","Mountain laurel","371","Leaves","Breaking leaf buds","2015","5","13","133","2457156","5","2015","5","13","133","2457156","17","1","0","0"
"'6'","2","Home","43.085350","-70.691330","12","ME","904","Kalmia","latifolia","mountain laurel","Evergreen broadleaf","22661","Mountain laurel","484","Leaves","Young leaves (tree/shrub)","2015","5","13","133","2457156","5","2015","9","1","244","2457267","14","112","0","0"
"'6'","2","Home","43.085350","-70.691330","12","ME","904","Kalmia","latifolia","mountain laurel","Evergreen broadleaf","22661","Mountain laurel","500","Flowers","Flowers or flower buds","2015","5","30","150","2457173","17","2015","6","20","171","2457194","33","22","0","0"
"'6'","2","Home","43.085350","-70.691330","12","ME","904","Kalmia","latifolia","mountain laurel","Evergreen broadleaf","22661","Mountain laurel","501","Flowers","Open flowers","2015","6","20","171","2457194","21","2015","6","20","171","2457194","33","1","0","0"
"'6'","2","Home","43.085350","-70.691330","12","ME","904","Kalmia","latifolia","mountain laurel","Evergreen broadleaf","22661","Mountain laurel","504","Fruits","Recent fruit or seed drop","2015","3","24","83","2457106","-9999","2015","3","24","83","2457106","10","1","0","1"
"'6'","2","Home","43.085350","-70.691330","12","ME","904","Kalmia","latifolia","mountain laurel","Evergreen broadleaf","22661","Mountain laurel","504","Fruits","Recent fruit or seed drop","2015","10","20","293","2457316","18","2015","10","20","293","2457316","6","1","0","1"
"'6'","2","Home","43.085350","-70.691330","12","ME","904","Kalmia","latifolia","mountain laurel","Evergreen broadleaf","22661","Mountain laurel","516","Fruits","Fruits","2015","7","23","204","2457227","33","2015","12","20","354","2457377","-9999","151","0","0"
"'324'","261","PPN_9050005","39.098499","-104.834297","2191","CO","27","Populus","tremuloides","quaking aspen","Deciduous broadleaf","6076","quaking aspen-2","371","Leaves","Breaking leaf buds","2015","5","19","139","2457162","44","2015","5","19","139","2457162","-9999","1","0","0"
"'324'","261","PPN_9050005","39.098499","-104.834297","2191","CO","27","Populus","tremuloides","quaking aspen","Deciduous broadleaf","6077","quaking aspen-3","371","Leaves","Breaking leaf buds","2015","5","19","139","2457162","44","2015","5","19","139","2457162","-9999","1","0","0"
"'324'","261","PPN_9050005","39.098499","-104.834297","2191","CO","27","Populus","tremuloides","quaking aspen","Deciduous broadleaf","6076","quaking aspen-2","390","Fruits","Ripe fruits","2015","5","19","139","2457162","44","2015","5","19","139","2457162","-9999","1","0","0"
